ext_name,ext_publisher,verified,repository
"ASN.1, edit, encode and decode",OSS Nokalva Inc.,True,
UnityQuickDocs,ColdThunder11,False,
Coding Metrics,stateful,True,
vsc-telegram,SphericalKat,False,
dartpad theme,chris_pi,False,
SkriptVS,SantioMC,False,
cucumber-gotostep,leonardosal,False,
vsc view in browser,daichang,False,
wx-smart-file,haodaima,False,
Integrated Terminal Tasks,ntc,False,
C/C++ RunAnywhere,asheor,False,
Meta Spark,Spark AR,False,
Angular Component Creator,Mike Zhou,False,
SwiftUI,fenki.net,False,
Text Edits,Qub,False,
ansi,Slavomír Čéplö,False,
smt-lib-syntax,Martin Ring,False,
IL,soltys,False,
Aria Templates Syntax Highlighter,Maxim Kotelnikov,False,
Crestron Components,Crestron,False,
SendtoMaya,Ivan Cheung,False,
SAP Mobile Services - Mobile Back-End Tools,SAP SE,True,
PHPComments,yurun,False,
Blue Planet,Timo Müller,False,
Trustcode Odoo Snippets,Fábio Luna,False,
jest-runner,monastic-panic,False,
IBM i Development Pack,Halcyon Tech,False,
snake-game,Gleb,False,
Ant Editor,Nantian,False,
Dracula For Rust Theme,dlahmad,False,
html-snippets,潇宇,False,
haml-syntax,Atef Haque,False,
carbon,AskingQuestions,False,
Repotool GUI,cashlalala,False,
spring-boot-pack,Malolan,False,
Marshal Command Code,Dinner Party Games,False,
Beau,Bespokify,False,
FiveM weapon names snipptets,Konijntje-x,False,
Uni App Snippets,Eno Yao,False,
Scs Script,Douglas Brunal,False,
auto-format-imports,pitermarx,False,
Toolbar & Extended Menu,azmi,False,
theme-demo,xinche,False,
CSS Snippet,CSS3,False,
react-native-code-styles,ueno,False,
vscode-scp,aminkira,False,
Nord,Freezy,False,
MirEdit,MirEdit,False,
goTo,hzwuxinhan,False,
cpp openGL code runner,I2k21205209,False,
Moralis Snippets,MoralisWeb3,False,
Library Version,Jake Zheng,False,
toml-formatter,Iceyer,False,
Ant Editor Debug,Nantian,False,
phpunit snippets,James Hrisho,False,
github-ui,Shobhit Sharma,False,
Ember Colorizer and Theme,ciena-blueplanet,False,
go-home,go-home,False,
Breeze Dark Theme for VS Code,AndrewFridley,False,
Cobalt0 Theme,Yeongman Seo,False,
Base16 Ocean Kit,Chip Collier,False,
Neon Monokai,Nerlci_,False,
Trailing Whitespace Highlighter,Kamil Pajdzik,False,
Material-last,Lastnumber,False,
J2UML,lcww,False,
Angular Node Pack,VivienZo,False,
Tinkerwell,Beyond Code,False,
Volt: Template Engine,Sergii Okhotnyi,False,
Dreamweaver Dark,Imperialzim01,False,
Deploy SFDX,TomasM,False,
Typescript/Javascript Deporter,Acr0most,False,
Black on White,Pontus,False,
Rocket Theme,Johnnie Thurston,False,
AutoIt,Cory Stein,False,
UN MinApp,健了个康,False,
project-tpl,liji,False,
Babelian,Triumvirate,False,
live2D,yuansnowboy,False,
Bracket Selection,Guo Song,False,
WebCode Light jetbrains theme,fedyshyn,False,
IBM i Debug,IBM,True,
CodePen Theme,Jacob Kucera,False,
Dopamina Dark Theme,Andre Jaccon,False,
Sakura,jacksonadams,False,
fastapi-snippets,haiconmeo,False,
eSignal for VSCode,eSignal,False,
Stackery Serverless Tools,Stackery,False,
Angular Pack,lauren,False,
swiper-snippets,lihaoyu261,False,
green-abyss,mureni,False,
circom-highlighting-vscode,iden3,False,
Tab Cycle,Mikhail Pontus,False,
Dark PK Theme,Pawan Kumar,False,
vue-php-project-vscode,fillefilip8,False,
key-proof-language,csicar,False,
Soy,Anton Kovalyov,False,
Forchange Python,4change,False,
Open Salesforce,JamieSmith,False,
rainbow,rainbow-template,False,
LilyPond,truefire,False,
C++ File Template,aleryc,False,
Markdown Navigate,Johannes Rieken,False,
clear-console,M. Wood,False,
TriSys Apex Javascript Snippets,TriSys Business Software,False,
Seeed ArduPy IDE,Seeed,False,
Cosmos DB SQL Studio,SavranWeb,False,
PYTKFJ Snippets,Subhranil Maity,False,
InternetstormBold,Eddy Vinck,False,
Cobalt Neon,audioj,False,
Electron Tools,tmssoftware.com,False,
Arduino_Theme,kevinxing,False,
JSCS-Formatter,Mostafa Sherif,False,
Brewfile,sharat,False,
Base16 Eighties,bsides,False,
ssz-egg,KenyeeCheung,False,
Intellij Theme C++ (Dark),Kleysley,False,
TouchWX,UILeader,False,
layui-layer-snippets,写代码的猫叔,False,
o,YuriyOsadchy,False,
Alibaba Java Coding Guidelines,yangbaopan,False,
Codeium Enterprise Updater,Codeium,True,
无限编辑器扩展包,MirEdit,False,
TT-Processor,AI Software LLC,False,
theme-gruvbox,saviorisdead,False,
SAV Flutter,thuanict,False,
Tomorrow Night - Eighties Contrast,aSonedPenguin,False,
Rusty icons,Ionut Botizan,False,
Angular QuickSwitch,erhise,False,
fprettify,Blamsoft,False,
background-image,rfukuma,False,
vscode-docker-phpunit,eric-c-hansen,False,
JSON Language Basics,Htwx,False,
MATLABExec,Amir H. Khodabakhsh,False,
Minimal Unity Extensions,Jason Bou Kheir,False,
Rad,cjoy,False,
saberd,saberd,False,
MCopilot,mt-idekit,False,
FiveM vRP,HeyyCzer,False,
Super Default Dark Theme,shpiglify,False,
nightwatch-js-snippets,sandeepthukral,False,
phaser-snippets,wuyujiesong,False,
React Redux Firestore Course Snippets,TryCatchLearn,False,
Color BASIC,Tandy,False,
zcy-emmet,alfredlau,False,
WordCount,Hypnoes,False,
IBM API Connect Tools,IBM,True,
DiDx Chat GPT,DiDx,False,
webstromeTheme,zhanglizhao,False,
CopyCat - Figma to React,CopyCat,False,
JuliaHub,JuliaHub Inc,True,
